Name,Gender,Personality,Specie,Birthday,Catchphrase,Skill,Goal,Coffee,Milk,Sugar,Style,Favorite Song,pngurl,search
Admiral,Male,Cranky,Bird,January 27,aye aye,Writing about pickles,Fisherman,Blue Mountain,The regular amount of milk,2 spoonfuls of sugar,,Steep Hill,"https://vignette.wikia.nocookie.net/animalcrossing/images/0/07/Admiral_HD.png/revision/latest?cb=20180518160412""",admiral
Agent S,Female,Peppy,Squirrel,July 2,sidekick,Limboing,Dancer,Mocha,The regular amount of milk,Two spoonfuls of sugar,Sporty,DJ K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/a/a7/Agent_S_NH.png/revision/latest?cb=20200309020615""",agents
Agnes,Female,Sisterly,Pig,April 21,snuffle,Cramming for tests,Pro Golfer,Kilimanjaro,Lots of milk,Three spoonfuls of sugar,Rock 'n' roll,K.K. House,"https://vignette.wikia.nocookie.net/animalcrossing/images/4/42/Agnes_NH.png/revision/latest?cb=20200321211513""",agnes
Al,Male,Lazy,Gorilla,October 18,Ayyeeee,Jumping rope,Journalist,Mocha,Lots of milk,Three spoonfuls of sugar,Basic,Steep Hill,"https://vignette.wikia.nocookie.net/animalcrossing/images/b/b0/Al_NewHorizons.png/revision/latest?cb=20200408175037""",al
Alfonso,Male,Lazy,Alligator,June 9,it'sa me,Fishing,Cartoonist,Mocha,The regular amount of milk,Two spoonfuls of sugar,Basic,Forest Life,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/d8/Alfonso_NewHorizons.png/revision/latest?cb=20200408175408""",alfonso
Alice,Female,Normal,Koala,August 19,guvnor,Photography,Stylist,Mocha,No Milk,No sugar,Cute,Surfin' K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/Alice_NewHorizons.png/revision/latest?cb=20200412225706""",alice
Alli,Female,Snooty,Alligator,November 8,graaagh,Yo-Yoing,Stylist,Mocha,The regular amount of milk,Two spoonfuls of sugar,Ornate,K.K. Chorale,"https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/Alli_NewHorizons.png/revision/latest?cb=20200412225958""",alli
Amelia,Female,Snooty,Eagle,November 19,cuz,Playing poker,Lawyer,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Ornate,K.K. Condor,"https://vignette.wikia.nocookie.net/animalcrossing/images/a/ab/Amelia_NH.png/revision/latest?cb=20200226235804""",amelia
Anabelle,Female,Peppy,Anteater,February 16,snorty,Jumping rope,Judge,Kilimanjaro,Just a little bit of milk,One spoonful of sugar,Cute,Aloha K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/Anabelle_NewHorizons.png/revision/latest?cb=20200417190821""",anabelle
Anchovy,Male,Lazy,Bird,March 4,chuurp,Remembering stuff,Explorer,Blue Mountain,The regular amount of milk,Two spoonfuls of sugar,Flashy,K.K. Ragtime,"https://vignette.wikia.nocookie.net/animalcrossing/images/4/40/Anchovy_NewLeaf_Official.png/revision/latest?cb=20130721164756""",anchovy
Ankha,Female,Snooty,Cat,September 22,me meow,Writing about Pickles,Astronaut,Kilimanjaro,No milk,No sugar,Historical,Marine Song 2001,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/7e/Ankha_NLa.png/revision/latest?cb=20200413172251""",ankha
Angus,Male,Cranky,Bull,April 30,macmoo,Doing handstands,Forest Ranger,Kilimanjaro,No milk,No sugar,Rock 'n' roll,Señor K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/6/6d/Angus_NewLeaf_Official.png/revision/latest?cb=20130818035925""",angus
